,tweet,name_author,user_tag,favourite_count,retweet_count,created_at
47,"$TSLA winnings of initial #BTC investment🙌

$-557073643 (-41.26 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",MBrae,@MBrae3,0,0,2022-06-21 01:30:05+00:00
48,"Here is one reason to get a Mint Access Pass.... #Tesla

Secured Website &amp; Roadmap @ 
https://t.co/MPhA1i8A94

#NFT
#NFTs
#nftcollector 
#KCBC https://t.co/e4YmUQXrle",Killer Cat Bengal Club (OOO until 6/29),@KCBC_NFT,3,1,2022-06-21 01:30:02+00:00
49,"RT @EvaFoxU: Tesla Shop offers Plaid Quarter Mile Tee, which celebrates the historic 1/4 mile performance time of 9.227 seconds posted by M…",Christian Castellano,@CCuntamed,0,2,2022-06-21 01:28:14+00:00
50,"Imagine every @AMCTheatres parking lot across America full of @Tesla solar systems would be incredible and the benefits for everyone is a long list @CEOAdam this would be an amazing opportunity to work with @elonmusk to make some huge changes
#amc #Tesla #ElonMusk #AMCSqueeze https://t.co/44ADAEclnB",Canadian Space Force,@OrganicsEast,2,0,2022-06-21 01:25:45+00:00
51,@d4t4wr4ngl3r @keith_dorschner @engineers_feed @BWillOfficial Also the only reason I add roads is that roads have a pretty standard set of measurements. Of course edge cases. But it would allow for simple scale up of material processing. Could contract with #tesla to build a factory. When they do that as a service.,S.B.Crazy,@Feni__Sam,1,0,2022-06-21 01:24:21+00:00
52,RT @CYBRLFT: The Friar's Gauntlet Chill Mode | FSD Beta 10.12.2 https://t.co/oBx83V4mgV via @YouTube Round 2 with 10.12.2 @FSDbetabot @Dirt…,🚗 FSD beta bot,@FSDbetabot,0,3,2022-06-21 01:24:00+00:00
53,"Mandatory post car wash 📸 
@Tesla #ModelY 
#Tesla @elonmusk https://t.co/pUl7ZQ1qEp",Nico Mejia,@nicolasmm,4,0,2022-06-21 01:23:25+00:00
54,"Any force that wants to hurt @elonmusk or be unfavorable to @elonmusk should first pass through our #GHCArmy . We will guard elon's space dream and support you forever🫶🏻🫶🏻🫶🏻
#GHC 
#GalaxyHeroes 
#GalaxyHeroesCoin 
#GHCArmy 
 #ElonMusk #Tesla #SpaceX #GalaxyHeroes #Mars https://t.co/CtA1WESFvZ",Mr Lee,@J5kUFzK37hVJHng,0,0,2022-06-21 01:22:40+00:00
55,Thank you @elonmusk @disneyplus I get to watch freaking @obiwankenobi SEASON FINALE in my Tesla !!!! #obi #StarWars #Tesla #model3 #thevibes #cannotwait https://t.co/KHMcAKM37L,HesaidShesaidBS,@MikePoski,0,0,2022-06-21 01:22:36+00:00
56,"RT @TheTeslaLife: #Tesla could build its business from Mining to Car Manufacturing in Indonesia 🇮🇩 , but no final plans yet, states country…",Maria Margiyeva🇺🇦,@MariaMargiyeva,0,3,2022-06-21 01:20:34+00:00
